example_id,definition_id,example_no,example_sentence
100,10,0,He averted fininancial disaster by selling his pharmaceutical stocks before they crashed.
200,20,0,Providing a healthy breakfast to primary school students will have an immediate effect on their academic performance.
300,30,0,Critics did not fully appreciate Van Gogh’s talent or artistic vision untils long after his passing.
310,31,0,"When walking through the slums of Kolkata, you immediately appreciate the depth of poverty faced by local residents."
400,40,0,We will have to divide the group into parties of eight for everyone’s convenience on the tour.
500,50,0,Any queries regarding room and trip reservations can be answered by the hotel’s front desk attendant.
600,60,0,"Tourist exploring the island can harm the natural environment, often without even realising it."
610,61,0,Lad procedures must be followed in order to prevent personal harm.
700,70,0,The study’s primary objective is to find out why the coral reefs are dying.
710,71,0,Some art critics believe the value of art is determined by objective methods of evoluation rather than individuals’ reactions.
800,80,0,TempExample_800
900,90,0,TempExample_900
1000,100,0,TempExample_1000
1100,110,0,TempExample_1100
1200,120,0,TempExample_1200
1300,130,0,TempExample_1300
1400,140,0,TempExample_1400
1500,150,0,TempExample_1500
1600,160,0,TempExample_1600
1700,170,0,TempExample_1700
1800,180,0,TempExample_1800
1900,190,0,TempExample_1900
2000,200,0,TempExample_2000
2100,210,0,The films of Luca Guadino evoke the ‘Golden Age’ of classical cinema.
2200,220,0,"For networking purposes, it’s important to pay attention to the job titles of the people you meet at a professional conference."
2300,230,0,The union launched the strike because it was not willing to make steep concessions regarding overtime pay.
2310,231,0,University students receive a concession of 50% on admission to sporting events.
2400,240,0,Parents should always try to set aside the time to read and play with their young children.
2500,250,0,The orientation session covering employee health insurance will be replaced bt a welcome speech from the CEO.
2600,260,0,New laws ought to be made to protect residents and the environment from the dangers of natural gas extraction.
2700,270,0,The local wildlife authority will also answer queries about seasonal hunting and fishing limits.
2800,280,0,Many advertising experts agree that releasing several short commercials instead of a single long one is a clever marketing scheme.
2900,290,0,The ruins of several Roman forts can still be seen throughout tge English countryside.
3000,300,0,"Nowadays, people are too obsessed with the fabulous lifestyles of, celebrities."
3100,310,0,TempExample_3100
3200,320,0,TempExample_3200
3300,330,0,TempExample_3300
3400,340,0,TempExample_3400
3500,350,0,TempExample_3500
3600,360,0,TempExample_3600
3700,370,0,TempExample_3700
3800,380,0,TempExample_3800
3900,390,0,TempExample_3900
4000,400,0,TempExample_4000
4100,410,0,TempExample_4100
4200,420,0,TempExample_4200
4300,430,0,TempExample_4300
4400,440,0,TempExample_4400
4500,450,0,TempExample_4500
4600,460,0,TempExample_4600
4700,470,0,TempExample_4700
4800,480,0,TempExample_4800
4900,490,0,TempExample_4900
5000,500,0,TempExample_5000
5100,510,0,TempExample_5100
5200,520,0,TempExample_5200
5300,530,0,TempExample_5300
5400,540,0,TempExample_5400
5500,550,0,TempExample_5500
5600,560,0,TempExample_5600
5700,570,0,TempExample_5700
5800,580,0,TempExample_5800
5900,590,0,TempExample_5900
6000,600,0,TempExample_6000
6100,610,0,TempExample_6100
6200,620,0,TempExample_6200
6300,630,0,TempExample_6300
6400,640,0,TempExample_6400
6500,650,0,TempExample_6500
6600,660,0,TempExample_6600
6700,670,0,TempExample_6700
6800,680,0,TempExample_6800
6900,690,0,TempExample_6900
7000,700,0,TempExample_7000
7100,710,0,TempExample_7100
7200,720,0,TempExample_7200
7300,730,0,TempExample_7300
7400,740,0,TempExample_7400
7500,750,0,TempExample_7500
7600,760,0,TempExample_7600
7700,770,0,TempExample_7700
7800,780,0,TempExample_7800
7900,790,0,TempExample_7900
8000,800,0,TempExample_8000
8100,810,0,TempExample_8100
8200,820,0,TempExample_8200
8300,830,0,TempExample_8300
8400,840,0,TempExample_8400
8500,850,0,TempExample_8500
8600,860,0,TempExample_8600
8700,870,0,TempExample_8700
8800,880,0,TempExample_8800
8900,890,0,TempExample_8900
9000,900,0,TempExample_9000
9100,910,0,TempExample_9100
9200,920,0,TempExample_9200
9300,930,0,TempExample_9300
9400,940,0,TempExample_9400
9500,950,0,TempExample_9500
9600,960,0,TempExample_9600
9700,970,0,TempExample_9700
9800,980,0,TempExample_9800
9900,990,0,TempExample_9900
10000,1000,0,TempExample_10000
10100,1010,0,TempExample_10100
10200,1020,0,TempExample_10200
10300,1030,0,TempExample_10300
10400,1040,0,TempExample_10400
10500,1050,0,TempExample_10500
10600,1060,0,TempExample_10600
10700,1070,0,TempExample_10700
10800,1080,0,TempExample_10800
10900,1090,0,TempExample_10900
11000,1100,0,TempExample_11000
11100,1110,0,TempExample_11100
11200,1120,0,TempExample_11200
11300,1130,0,TempExample_11300
11400,1140,0,TempExample_11400
11500,1150,0,TempExample_11500
11600,1160,0,TempExample_11600
11700,1170,0,TempExample_11700
11800,1180,0,TempExample_11800
11900,1190,0,TempExample_11900
12000,1200,0,TempExample_12000
12100,1210,0,TempExample_12100
12200,1220,0,TempExample_12200
12300,1230,0,TempExample_12300
12400,1240,0,TempExample_12400
12500,1250,0,TempExample_12500
12600,1260,0,TempExample_12600
12700,1270,0,TempExample_12700
12800,1280,0,TempExample_12800
12900,1290,0,TempExample_12900
13000,1300,0,TempExample_13000
13100,1310,0,TempExample_13100
13200,1320,0,TempExample_13200
13300,1330,0,TempExample_13300
13400,1340,0,TempExample_13400
13500,1350,0,TempExample_13500
13600,1360,0,TempExample_13600
13700,1370,0,TempExample_13700
13800,1380,0,TempExample_13800
13900,1390,0,TempExample_13900
14000,1400,0,TempExample_14000
14100,1410,0,TempExample_14100
14200,1420,0,TempExample_14200
14300,1430,0,TempExample_14300
14400,1440,0,TempExample_14400
14500,1450,0,TempExample_14500
14600,1460,0,TempExample_14600
14700,1470,0,TempExample_14700
14800,1480,0,TempExample_14800
14900,1490,0,TempExample_14900
15000,1500,0,TempExample_15000
15100,1510,0,The tourists watched from the ship as a pod of humpback whales emerged from the ocean depths
15200,1520,0,The discovery of penicilin in 1928 brought about numerous health benefits for people suffering from bacterial diseases and infections
15210,1521,0,Experimenting with different musical genres rather than sticking to just one can benefit the creative process of aspiring musicians
15300,1530,0,Since the themes contained in modern art can be perplexing and obscure
15400,1540,0,"Using GPS and satellite imagery, scientists were able to track the herd of reindeer across nothern Canada"
15500,1550,0,Political philosophers in the 17th century offered contrasting views on the conditions that led to civil society
15600,1560,0,The product development tean was ready to halt the project if the market survey’s result was negative about the new flavours.
15610,1561,0,Hiding financial debt from a business partner can bring even the most promising relationships to a halt
15700,1570,0,It was necessary to obtain more samples from the glacial ice for further study
15800,1580,0,"The remaining male rhinos were put into a specialised breeding programme that would, biologists hoped, save the species"
15900,1590,0,The building was undamaged apart form a few shattered windows
16000,1600,0,The director was able to secure funding to keep the homeless shelter open this winter
16010,1601,0,"During training, flight attendants learn how to make passengers feel safe and secure on board"
16100,1610,0,"By laws, all cinemas, sports stadium an dconcert hall are required to have special seating areas for the disabled"
16200,1620,0,A recent report claims that the social pressure to dress fashonably marginalise children from low-income families.
16300,1630,0,Introducing the Asian carp to American waterways affected the ecosystems of several lakes and rivers
16400,1640,0,International trade agreements involve compromises from all participating nations
16410,1641,0,Youths who are involved with community programmes developa sense of their strengths and weaknesses
16420,1642,0,Dog show competitors are so involved in the sport that they may even spend their total income on their dog.
16500,1650,0,Draining the lake would provide water for residents in the drought-affected region
16510,1651,0,Marathon runners are drained of energy during the race and should have nutritious food in orders to recover
16600,1660,0,The civil war had a profound effect on the economies of the neighbouring countries
16700,1670,0,One of the obvious benefits of a plant-based diet is a reduction in body fat
16800,1680,0,Several engineers volunteered to travel to the developing country to help improve the irrigation systems of its farmlands
16900,1690,0,"To this day, many people argue that concerns about climate change are exaggerateed by certain media sources and political parties"
17000,1700,0,Interest in home gardening has been increasing steadily over the past decade
17100,1710,0,"By draining the wetland, land available for cultivation in the region increased by 25%"
17200,1720,0,"During an eruption, solid rock melts into liquid magma and flows outward from the volcano"
17300,1730,0,The research team’s next goal is to create an artificial intelligence that can mimic human emotions
17400,1740,0,"Take care when picking mushrooms in the forest, as only a few varieties are edible"
17500,1750,0,Speakers are installed in all hotel rooms to alert guests in case of an emergency such as a fire
17510,1751,0,Speakers are installed in all hotel rooms to alert guests in case of an emergency such as a fire
17600,1760,0,The current food production level will not be enough to feed Earth’s expected future population size
17700,1770,0,"For developing countries, participating in the Olympic Games became a means of earning recognition on the international stage"
17800,1780,0,The social media site has faced harsh citicism for intrusions into its users’ privacy
17900,1790,0,Eary civilisations used hollow coconut shells as a means of serving and storing food
18000,1800,0,The Accounting Department manages the distribution of pay to out freelance writers
18100,1810,0,"Only rearly is an exotic pet allowed in an airplane cabin, even if it is designated as a support animal"
18200,1820,0,Charts and graphs will aid audience understanding by visualising your data
18210,1821,0,"Tablet computers have become an invaluable study aid for all ages of students"""
18300,1830,0,It's rear to sustain a friendship from primary school through to adulthood
18400,1840,0,The initial stp in establishing a personal relationship is to have communication
18500,1850,0,"In order to keep tracking the location of the endangered animals, precise GPS data provided from satellites is necessary"
18600,1860,0,A sharp spade was required to penetrate the tough topsoil
18610,1861,0,Only advanced readers will be able to penetrate the author’s dense writing style
18700,1870,0,Flexible working hours draw much interest from individuals seeking work-life balance
